"text","id"
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",177
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",178
"RT @MarkRuffalo: Excited to launch this limited edition tee with my fellow @Avengers to support @SolutionsProj. Get or give yours: https://…",179
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",180
"@Marvel @Disney @Kevfeige @CaptainAmerica @Iron_Man @SpiderManMovie @thorofficial @DrStrange @Hulk @Avengers… https://t.co/d7SW0cdLAn",181
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",182
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",183
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",184
"@adamhlavac @Avengers @El_Santotaco @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress… https://t.co/NDsIDIXwfr",185
"@El_Santotaco @adamhlavac @Avengers @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress… https://t.co/JMAniA1VdU",186
"RT @MarkRuffalo: Excited to launch this limited edition tee with my fellow @Avengers to support @SolutionsProj. Get or give yours: https://…",187
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",188
"@El_Santotaco @adamhlavac @Avengers @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress… https://t.co/4ipEziTsj3",189
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",190
"@El_Santotaco @adamhlavac @Avengers @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress @Hyper_RPG Congrats guys!",191
"@adamhlavac @Avengers @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress @Hyper_RPG lol… https://t.co/iXcNz0da4t",192
"@adamhlavac @Avengers @El_Santotaco @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress… https://t.co/ERJE1l9JJW",193
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",194
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",195
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",196
"Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet… https://t.co/rw08Wur8jL",197
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",198
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",199
"My laptop just fell off the bed and I caught it with one hand just before it hit the ground. @Iron_Man can I join the @Avengers now?",200
"@artistanniepc @Avengers Yes,yes exciting for both the movie and your drawings ������������",201
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",202
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",203
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",204
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",205
"RT @MarkRuffalo: Excited to launch this limited edition tee with my fellow @Avengers to support @SolutionsProj. Get or give yours: https://…",206
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",207
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",208
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",209
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",210
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",211
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",212
"RT @artistanniepc: Getting super excited for #Infinitywar  by producing lots of @Avengers art :)

Instagram: annie.pc https://t.co/Ye8cIdKb…",213
"RT @CelebrationCnma: It's official, @Renner4Real will return to play #Hawkeye for the untitled @Avengers 4 movie!

https://t.co/nfBRG1LKH7",214
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",215
"Getting super excited for #Infinitywar  by producing lots of @Avengers art :)

Instagram: annie.pc https://t.co/Ye8cIdKb4i",216
"It's official, @Renner4Real will return to play #Hawkeye for the untitled @Avengers 4 movie!

https://t.co/nfBRG1LKH7",217
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",218
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",219
